"candidateId","initialProjects","targetProjects","launchIntervalDays","minDemandBeforeLaunchCCLX","mintFee","redemptionFee","slopeScale","cooldownDays","seeds","validationSeeds","grossFeesCCLX","netProtocolResult","validationNetProtocolResult","capitalExternal","retention90d","reserveAverageCCLX","p95RoundTripCost","p95WithdrawalSlippage","rejectedDemandRate","accountingResidualCCLX","feasible","paretoRank","violations","validationSpread"
"cand_001","2","5","263","522539.3297150731","0.003714590510353446","0.028784486977383495","1.7579713022569194","90","101|102","901","325.6980847370037","67.17522997700702","","","0.45333333333333337","9928969.943366174","0.032275714844262574","0.00000598386754466773","0.013966779279279279","3.725290298461914e-9","true","2","","2.480903754172431"
"cand_002","3","5","364","12620.279099792242","0.00020131095545366406","0.032789638731628656","1.4419105707202107","0","101|102","901","125.21816602015306","25.826246741656583","","","0.44666666666666666","9927371.674549043","0.032977927639906035","0.000006141116636934618","0.008337720837720837","3.725290298461914e-9","true","2","","1.8124210287471492"
"cand_003","5","5","204","749677.344923839","0.015449277630541472","0.04388399478048086","1.795112648862414","0","101|102","901","901.540891210104","185.9428088120839","","","0.4633333333333334","9925795.144548714","0.05780149310388087","0.000005462459000897809","0.0067689790476767615","1.862645149230957e-9","true","2","","11.940807731551217"
"cand_004","3","10","198","558096.3685642928","0.025219917653594166","0.048398427281063056","1.6016451843315735","0","101|102","901","1556.9744225342465","321.1259746476884","350.1125674354751","","0.46499999999999997","18325746.989970103","0.07070096595137344","0.000007708049134745316","0.004551731869767062","3.725290298461914e-9","true","1","","0"
"cand_005","5","3","217","809485.7139512897","0.021217835114803164","0.030356236547231675","1.1402378474595025","7","101|102","901","1149.9448667473198","237.1761287666347","297.8168650294867","","0.46499999999999997","5525369.769794893","0.04990328084060072","0.000004060391421489283","0.010945561915511125","1.862645149230957e-9","true","1","","0"
"cand_006","5","10","215","232352.04722732306","0.01359794791555032","0.007751178392209113","1.3039364307187498","90","101|102","901","844.54177476798","174.1867410458959","","","0.44833333333333336","18328299.299146477","0.02096091010625248","0.0000040365939878481145","0.011603542626728112","0","true","1","","8.008290024899793"
"cand_007","5","5","301","631212.5441618264","0.015998486371245235","0.018927029229234907","0.5546822936739773","7","101|102","901","983.2083171106315","202.78671540406776","","","0.44666666666666666","9926330.137327991","0.0340876823403579","0.0000023917133621068065","0.006362612612612612","1.862645149230957e-9","true","2","","15.510727960336226"
"cand_008","2","10","49","404320.97227312624","0.003849425304215401","0.029769547015894206","1.5234080258524045","30","101|102","901","330.04041733207293","68.07083607474004","","","0.44833333333333336","18327345.777027383","0.03337970914488734","0.000005964691037754489","0.008355562721072483","3.725290298461914e-9","true","2","","2.5075486682572716"
"cand_009","3","5","241","546343.2925753295","0.008936939772684126","0.012137308670207859","1.5518227317370474","30","101|102","901","580.6063497201965","119.75005962979051","","","0.44833333333333336","9928388.35147604","0.02078230212839852","0.0000062877270206790385","0.011603542626728112","1.862645149230957e-9","true","1","","5.470513251585359"
"cand_010","3","5","128","930194.1159646958","0.002544750028755516","0.013327932020183654","1.3985767065314576","7","101|102","901","200.32059832692815","41.31612340492893","","","0.4816666666666667","9929831.728580046","0.01579909688749379","0.000005392087288541569","0.004119797393175645","1.862645149230957e-9","true","1","","2.194116081730705"
